SL.No,Type,ozwin TBC,Ozwin TBC,Part number,Product Number,Model,Description ,SR no,Total Qty,Available,Ordered,Owner,Comments,
90,Drive,,,P50248-001,P50227-B21,MO001600KYDMU,1.6TB NVMe MU U.3 PM1735a SSD-SAM,S70TNE0TA07771,1,,122-Middle,,,
91,Drive,,,P50248-001,P50227-B21,MO001600KYDMU,1.6TB NVMe MU U.3 PM1735a SSD-SAM,S70TNE0TA01481,1,,122-Middle,,,
92,Drive,,,P67441-001,,MO001600KYFFF,1.6T NVME MU SFF PS1030 U.3 SSD-SKH,SIC8Q170610108L06,1,,122-Middle,,,
93,Drive,,,P67441-001,,MO001600KYFFF,1.6T NVME MU SFF PS1030 U.3 SSD-SKH,SIC8Q170610108L0B,1,,122-Middle,,,
94,Drive,,,P67441-001,,MO001600KYFFF,1.6T NVME MU SFF PS1030 U.3 SSD-SKH,SIC8Q170610108L08,1,,122-Middle,,,
95,Cable,,, P66578-001,,,EDSFF BOX1 Port3-6 TO Sec,,6,,122-Bottom,,,
96,Cable,,,P51542-001,,,EDSFF BOX1 Port3-6 TO Sec,,2,,122-Bottom,,,
97,Lattice,,,,,,HW-USBN-2B programming cable,,1,,121-Middle,,,
98,PCA - other,,,P60127-001,,,"G11, Gen5 Re-timer card",PZYKU0ARHID067,1,,,,,
99,PCA - other,,,P60127-001,,,"G11, Gen5 Re-timer card",PZYKU0ARHID04Y,1,,,,,
100,Cable,,,P64334-001,,,"Converter, Raid card, Micro Tower",,2,,,,,
101,Power Supply,,,,,YM-2651BHR,POWER SUPPLY,PSR650B-12A1,1,,,,,
102,Fan,,,,JC682A,,HPE 58x0AF Bck(pwr) Frt(prt) Fan Tray,CN21L03097,1,,117-Middle,,,
103,Fan,,,,JC682A,,HPE 58x0AF Bck(pwr) Frt(prt) Fan Tray,CN21L03051,1,,117-Middle,,,
104,Power Supply,,,P67251-301,P67248-B21,,HPE 3200W M-CRPS Ti Ht Plg PS Kit,,1,,117-Middle,,,
105,Power Supply,,,P39384-001,P38997-B21,HSTNS-PL62,HPE 1600W FS Plat Ht Plg LH Pwr Sply Kit,,1,,117-Middle,,,
106,Power Supply,,,P39384-001,P38997-B21,HSTNS-PL62,HPE 1600W FS Plat Ht Plg LH Pwr Sply Kit,,1,,117-Middle,,,
107,Cable,,,,C7535A,,HPE Ethernet 7ft CAT5e RJ45 M/M Cable,,14,,122-Bottom,,,
108,Cable,,,P51577-001,,HWHHW-N928,"CA, PWR,EDSFF Box 1 + Box 6,AMP",,2,,122-Bottom,,,
109,Cable,,,P51545-001,,HLP74-2403,"8x, LP SlimSAS R/A to SlimSAS left side exit, L=870mm",,2,,122-Bottom,,,
110,Cable,,,P58023-001,,HWHHW-P319,Cable for 8x SFF Box2 BP power(Backplane power cable for 8SFF SAS/SATA/Nvme BP),,1,,122-Bottom,,,
111,Cable,,,,,HMC74-8599,"1 to 1, X8 MCIO RA to X8 MCIO STR",,1,,122-Bottom,,,
112,Cable,,,P56679-001,,HMC74-3667,8x SFF U.3 x1 BP(SFF SATA/SAS config.) P0[0:7],,1,,122-Bottom,,,
113,Cable,,,P57215-001,,HMC74-5274,"CA,8SFFBPtoG0,G3 x8SlimSAS/x8MCIO(BOX3)",,2,,122-Bottom,,,
114,Cable,,,P22905-001,,,"CA, NVME,B1/2,8SFF,BC to P/Sec PCIe,Str",,1,,122-Bottom,,,
